ability|cognition,knowledge,power,quality|inability
able|able-bodied,capable,competent,healthy|unable
abnormal|aberrant,anomalous,atypical,defective,deviant,deviate,exceptional,freakish,immoderate,insane,irregular,kinky,perverted,subnormal,vicarious|normal
abnormality|backwardness,condition,freakishness,irregularity,misbehavior,misdeed,retardation,slowness,status,strangeness|normality
aboriginal|early,native,primal,primeval,primordial|nonnative
above|preceding,section,subdivision,supra|below
aboveboard|honestly,square,straight|dishonestly
abridge|abbreviate,contract,curb,curtail,decrease,foreshorten,lessen,reduce,restrict,shorten|expand
absence|deficiency,epilepsy,interval,lack,want|presence
absent|absentminded,abstracted,away,departed,devoid,disappear,gone,inattentive,lacking,missing,nonexistent,remove,truant,vanish,wanting|present
absolute|abstract,abstraction,arbitrary,complete,conclusive,dead,direct,downright,implicit,inalienable,independent,infinite,inviolable,living,out-and-out,rank,sheer,total,unalienable,unambiguous,unequivocal,utter|relative
absolve|forgive,free,justify|blame
absorb|acquire,assimilate,blend,center,coalesce,combine,commingle,concentrate,conflate,draw,engage,engross,engulf,flux,focus,fund,fuse,imbibe,immerse,ingest,interest,invite,learn,meld,merge,occupy,plunge,pore,receive,rivet,steep,suck|emit
absorbent|absorptive,receptive,spongy,thirsty|nonabsorbent
absorptive|absorbent,receptive,spongy,thirsty|nonabsorbent
abstain|desist,forbear,refrain|consume
abstainer|abstinent,ascetic,individual,mortal,nondrinker,person,somebody,someone,soul|drinker
abstemious|abstinent,ascetic,austere,light,spartan,strict,temperate|gluttonous
abstinent|abstainer,abstemious,individual,mortal,nondrinker,person,somebody,someone,soul|drinker
abstract|abstraction,cabbage,concept,conception,conceptional,conceptual,consider,construct,deal,filch,hook,ideal,impalpable,intangible,lift,nonobjective,notional,outline,pilfer,pinch,precis,purloin,reckon,regard,resume,sneak,steal,summarize,summary,swipe,synopsis,take,theoretical,view|concrete
abstruseness|obscurity,profoundness,profundity,wisdom|clarity
abundance|copiousness,quantity,ratio|scarcity
abundant|ample,bumper,copious,easy,exuberant,galore,long,lush,luxuriant,overabundant,plenteous,plentiful,profuse,rampant,rank,rich,rife,riotous,teeming,thick,torrential,verdant,voluminous|scarce
accentual|inflection,prosody|quantitative,syllabic
acceptably|so-so,tolerably|intolerably,unacceptably
accidentally|incidentally,unexpectedly|deliberately
acclivity|ascent,climb,incline,raise,rise,side,slope,upgrade|descent
accommodate|adapt,admit,alter,cater,change,comply,conciliate,follow,harmonize,hold,house,lodge,meet,oblige,provide,reconcile,suit,supply,vary|disoblige
accord|accordance,agree,agreement,allot,check,concord,concordance,conformity,consort,correspond,gibe,give,grant,harmonize,harmony,jibe,match,pact,tally,treaty|disagreement
accordant|according,agreeable,concordant,conformable,consensual,consistent,consonant,unanimous|discordant
accuracy|quality,truth|inaccuracy
accurate|close,correct,exact,faithful,hi-fi,precise,right,straight,surgical,true,veracious|inaccurate
accustomed|customary,habitual,usual,wonted|unaccustomed
acidic|acid,acidulous,sour|alkaline
acquiesce|accede,agree,assent|dissent
acquire|acquire,adopt,assume,change,develop,evolve,gain,grow,learn,locate,produce,situate,take|lose
acquit|bear,behave,carry,clear,comport,conduct,deport,discharge,exculpate,exonerate,hold,judge,label,move,pronounce|convict
